"","country","iso3c","WHO_region","income_g","year","pop","pop_name"
"1","Afghanistan","AFG","EMRO","Low income",2022,6587946.5,"6-59mo"
"2","Albania","ALB","EURO","Upper middle income",2022,148287,"6-59mo"
"3","Algeria","DZA","AFRO","Lower middle income",2022,4862517,"6-59mo"
"4","Angola","AGO","AFRO","Lower middle income",2022,6087495.5,"6-59mo"
"5","Argentina","ARG","AMRO","Upper middle income",2022,2947672,"6-59mo"
"6","Armenia","ARM","EURO","Upper middle income",2022,176876,"6-59mo"
"7","Australia","AUS","WPRO","High income",2022,1523962,"6-59mo"
"8","Austria","AUT","EURO","High income",2022,432137.5,"6-59mo"
"9","Azerbaijan","AZE","EURO","Upper middle income",2022,688108,"6-59mo"
"10","Bahamas","BHS","AMRO","High income",2022,21884.5,"6-59mo"
"11","Bahrain","BHR","EMRO","High income",2022,95927,"6-59mo"
"12","Bangladesh","BGD","SEARO","Lower middle income",2022,16290933.5,"6-59mo"
"13","Barbados","BRB","AMRO","High income",2022,15871.5,"6-59mo"
"14","Belarus","BLR","EURO","Upper middle income",2022,428276,"6-59mo"
"15","Belgium","BEL","EURO","High income",2022,593583.5,"6-59mo"
"16","Belize","BLZ","AMRO","Upper middle income",2022,36378.5,"6-59mo"
"17","Benin","BEN","AFRO","Lower middle income",2022,2154968,"6-59mo"
"18","Bhutan","BTN","SEARO","Lower middle income",2022,48411,"6-59mo"
"19","Bolivia","BOL","AMRO","Lower middle income",2022,1248895,"6-59mo"
"20","Bosnia and Herzegovina","BIH","EURO","Upper middle income",2022,133776.5,"6-59mo"
"21","Botswana","BWA","AFRO","Upper middle income",2022,289053.5,"6-59mo"
"22","Brazil","BRA","AMRO","Upper middle income",2022,13628418.5,"6-59mo"
"23","Brunei Darussalam","BRN","WPRO","High income",2022,31645.5,"6-59mo"
"24","Bulgaria","BGR","EURO","Upper middle income",2022,308423,"6-59mo"
"25","Burkina Faso","BFA","AFRO","Low income",2022,3360439.5,"6-59mo"
"26","Burundi","BDI","AFRO","Low income",2022,2148639.5,"6-59mo"
"27","Cambodia","KHM","WPRO","Lower middle income",2022,1824962.5,"6-59mo"
"28","Cameroon","CMR","AFRO","Lower middle income",2022,4344471,"6-59mo"
"29","Canada","CAN","AMRO","High income",2022,1888613.5,"6-59mo"
"30","Cape Verde","CPV","AFRO","Lower middle income",2022,42610.5,"6-59mo"
"31","Central African Republic","CAF","AFRO","Low income",2022,934537,"6-59mo"
"32","Chad","TCD","AFRO","Low income",2022,3431648,"6-59mo"
"33","Chile","CHL","AMRO","High income",2022,1021264.5,"6-59mo"
"34","China","CHN","WPRO","Upper middle income",2022,65606014,"6-59mo"
"35","Colombia","COL","AMRO","Upper middle income",2022,3543741.5,"6-59mo"
"36","Comoros","COM","AFRO","Lower middle income",2022,113418,"6-59mo"
"37","Congo","COG","AFRO","Lower middle income",2022,875680,"6-59mo"
"38","Costa Rica","CRI","AMRO","Upper middle income",2022,299560,"6-59mo"
"39","Côte d'Ivoire","CIV","AFRO","Lower middle income",2022,4563751,"6-59mo"
"40","Croatia","HRV","EURO","High income",2022,170181,"6-59mo"
"41","Cuba","CUB","AMRO","Upper middle income",2022,522168,"6-59mo"
"42","Cyprus","CYP","EURO","High income",2022,73523.5,"6-59mo"
"43","Czech Republic","CZE","EURO","High income",2022,559093.5,"6-59mo"
"44","Democratic Peoples Republic of Korea","PRK","SEARO","Low income",2022,1714872.5,"6-59mo"
"45","Democratic Republic of the Congo","COD","AFRO","Low income",2022,18753273,"6-59mo"
"46","Denmark","DNK","EURO","High income",2022,311033.5,"6-59mo"
"47","Djibouti","DJI","EMRO","Lower middle income",2022,114432.5,"6-59mo"
"48","Dominica","DMA","AMRO","Upper middle income",2022,3706,"6-59mo"
"49","Dominican Republic","DOM","AMRO","Upper middle income",2022,1013118,"6-59mo"
"50","Ecuador","ECU","AMRO","Upper middle income",2022,1431213.5,"6-59mo"
"51","Egypt","EGY","EMRO","Lower middle income",2022,11968818.5,"6-59mo"
"52","El Salvador","SLV","AMRO","Upper middle income",2022,499909,"6-59mo"
"53","Equatorial Guinea","GNQ","AFRO","Upper middle income",2022,249817.5,"6-59mo"
"54","Eritrea","ERI","AFRO","Low income",2022,455141.5,"6-59mo"
"55","Estonia","EST","EURO","High income",2022,69240.5,"6-59mo"
"56","Eswatini","SWZ","AFRO","Lower middle income",2022,142458,"6-59mo"
"57","Ethiopia","ETH","AFRO","Low income",2022,18673389.5,"6-59mo"
"58","Fiji","FJI","WPRO","Upper middle income",2022,83818.5,"6-59mo"
"59","Finland","FIN","EURO","High income",2022,240999,"6-59mo"
"60","France","FRA","EURO","High income",2022,3418480.5,"6-59mo"
"61","Gabon","GAB","AFRO","Upper middle income",2022,329181.5,"6-59mo"
"62","Gambia","GMB","AFRO","Low income",2022,379502.5,"6-59mo"
