country,age_grp,meas,iso3c,value,itz
Afghanistan,<65,median,AFG,3.7999999999999995e-5,Asia-Europe
Albania,<65,median,ALB,4e-6,Europe
Algeria,<65,median,DZA,3.7999999999999995e-5,Europe
Angola,<65,median,AGO,3.7999999999999995e-5,Africa
Antigua_and_Barbuda,<65,median,ATG,1.2e-5,NA
Argentina,<65,median,ARG,3e-5,Southern America
Armenia,<65,median,ARM,4e-6,Asia-Europe
Australia,<65,median,AUS,5e-6,Oceania-Melanesia-Polynesia
Austria,<65,median,AUT,1e-5,Europe
Azerbaijan,<65,median,AZE,3.6e-5,Asia-Europe
Bahamas,<65,median,BHS,1.4e-5,Northern America
Bahrain,<65,median,BHR,4e-6,Asia-Europe
Bangladesh,<65,median,BGD,3.7000000000000005e-5,Eastern and Southern Asia
Barbados,<65,median,BRB,2.5e-5,Southern America
Belarus,<65,median,BLR,7e-6,Europe
Belgium,<65,median,BEL,8e-6,Europe
Belize,<65,median,BLZ,1.2e-5,Northern America
Benin,<65,median,BEN,3.7000000000000005e-5,Africa
Bhutan,<65,median,BTN,3.7000000000000005e-5,Eastern and Southern Asia
Bolivia,<65,median,BOL,3.7000000000000005e-5,Southern America
Bosnia_and_Herzegovina,<65,median,BIH,4e-6,Europe
Botswana,<65,median,BWA,3.7000000000000005e-5,Africa
Brazil,<65,median,BRA,1.4e-5,Southern America
Brunei_Darussalam,<65,median,BRN,7e-6,Eastern and Southern Asia
Bulgaria,<65,median,BGR,1e-5,Europe
Burkina_Faso,<65,median,BFA,3.7000000000000005e-5,Africa
Burundi,<65,median,BDI,3.7999999999999995e-5,Africa
Cambodia,<65,median,KHM,3.7999999999999995e-5,Eastern and Southern Asia
Cameroon,<65,median,CMR,3.7000000000000005e-5,Africa
Canada,<65,median,CAN,4e-6,Northern America
Cape_Verde,<65,median,CPV,3.6e-5,Africa
Central_African_Republic,<65,median,CAF,3.7000000000000005e-5,Africa
Chad,<65,median,TCD,3.7000000000000005e-5,Africa
Chile,<65,median,CHL,1.4e-5,Southern America
Hong_Kong,<65,median,HKG,4e-6,Eastern and Southern Asia
China,<65,median,CHN,7e-6,Eastern and Southern Asia
Colombia,<65,median,COL,9e-6,Southern America
Comoros,<65,median,COM,3.7999999999999995e-5,Africa
Congo,<65,median,COG,3.7000000000000005e-5,Africa
Costa_Rica,<65,median,CRI,9e-6,Southern America
Côte_d'Ivoire,<65,median,CIV,3.7000000000000005e-5,Africa
Croatia,<65,median,HRV,5e-6,Europe
