iso3c,gdpcap,gdp_prop,cet
AFG,355.78,0.65,231.25699999999998
DZA,3999.75769667754,0.53,2119.8715792390963
AGO,2385.11995881418,0.21,500.87519135097773
ARG,12940.7384352157,0.93,12034.886744750602
ARM,5116.2057562728,1.08,5525.502216774624
AUS,60993.641250363,0.9,54894.2771253267
AUT,46697.8565193913,0.93,43429.006563033916
AZE,5590.00439551731,0.38,2124.2016702965775
BHS,30283.8969865035,0.47,14233.431583656644
BHR,24395.4724708891,0.34,8294.460640102296
BGD,1784.73887962167,0.17,303.40560953568394
BRB,16588.1488079926,0.54,8957.600356316003
BLR,6204.09666224383,0.55,3412.253164234107
BEL,44184.6852868064,0.95,41975.45102246608
BLZ,6191.66283746796,0.57,3529.247817356737
BEN,1255.60729259081,0.16,200.89716681452958
BTN,3560.2,0.27,961.254
BOL,3134.7663209328002,0.53,1661.4261500943842
BIH,6263.70207336802,0.91,5699.968886764898
BWA,6657.58508921651,0.67,4460.582009775062
BRA,8831.12772868621,0.95,8389.571342251898
BRN,28954.0640896097,0.18,5211.731536129746
BGR,9550.94254965707,0.68,6494.640933766807
BFA,732.570323403893,0.23,168.4911743828954
BDI,262.184804661142,0.39,102.25207381784537
CPV,3494.5692436774,0.39,1362.882005034186
KHM,1488.81455084105,0.52,774.183566437346
CMR,1441.79490493379,0.22,317.1948790854338
CAN,45237.7794727723,0.96,43428.26829386141
CAF,364.690753381785,0.3,109.4072260145355
TCD,590.305176223465,0.15,88.54577643351975
CHL,14355.606236598,0.8,11484.4849892784
CHN,11560.2421221288,0.51,5895.723482285688
COL,6842.53251183401,0.75,5131.899383875507
COM,1362.77802062384,0.34,463.3445270121056
COD,528.788834504898,0.15,79.3183251757347
COG,1704.27235187544,0.14,238.59812926256163
CRI,13424.4647013731,0.75,10068.348526029824
CIV,2430.30692104788,0.19,461.75831499909725
HRV,16610.3180919751,0.57,9467.881312425805
CUB,7449.68287994077,1.17,8716.1289695307
CYP,30571.55078125,0.58,17731.499453124998
CZE,20237.2945527073,0.67,13558.987350313892
DNK,60345.5573176803,0.88,53104.09043955866
DJI,2950.94647464779,0.14,413.13250645069064
DOM,8732.08073884782,0.57,4977.286021143257
ECU,5590.54163412359,0.76,4248.8116419339285
EGY,4088.89704539336,0.39,1594.6698477034104
SLV,4276.95524469353,0.57,2437.864489475312
GNQ,5945.20168113974,0.22,1307.9443698507428
EST,21143.2913626518,0.57,12051.676076711525
SWZ,4012.95449518722,0.47,1886.0886127379933
ETH,857.315485565942,0.14,120.02416797923189
FJI,5313.02847064593,0.33,1753.299395313157
FIN,46792.7535188876,0.81,37902.13035029896
FRA,38816.4792795643,0.99,38428.31448676866
GAB,6637.06610643483,0.24,1592.8958655443591
GMB,678.3617221291,0.16,108.537875540656
GEO,5438.60417739969,0.59,3208.776464665817
DEU,43361.1771204321,1.01,43794.78889163642
GHA,2031.42833926476,0.23,467.22851803089486
GRC,20287.7253030767,0.69,13998.530459122921
GTM,4504.12922283915,0.58,2612.394949246707
GIN,994.436997186227,0.18,178.99865949352085
GNB,621.85222608006,0.34,211.4297568672204
GUY,17646.2159234068,0.47,8293.721484001195
HTI,1247.89238997842,0.2,249.578477995684
HND,2487.70561222524,0.62,1542.377479579649
HUN,16336.2411254742,0.52,8494.845385246585
ISL,56429.2997819032,0.82,46272.02582116063
IND,2089.7343826079,0.24,501.536251825896
IDN,4073.61049423815,0.27,1099.8748334443005
IRN,5507.53339500769,1.34,7380.094749310305
IRQ,4335.78313171525,0.38,1647.5975900517951
IRL,97316.8775085729,0.6,58390.12650514374
ISR,42710.7782216294,0.7,29897.544755140578
ITA,33281.3366682385,0.78,25959.442601226034
JAM,5236.79025920025,0.57,2984.9704477441423
JPN,36202.639274898,0.97,35116.56009665106
JOR,3891.21222731747,0.7,2723.848559122229
KAZ,11290.8979383788,0.26,2935.6334639784877
KEN,1754.58548035889,0.32,561.4673537148448
KOR,33719.38642033,0.73,24615.152086840902
KWT,26913.8011551844,0.41,11034.658473625603
KGZ,1182.91171605932,0.33,390.3608662995756
LAO,2599.20507892295,0.19,493.8489649953605
LVA,17081.3427820803,0.52,8882.298246681758
LBN,4136.1,0.94,3887.934
LSO,950.648784235823,0.68,646.4411732803596
LBR,646.501159893738,0.37,239.20542916068305
LTU,18535.0779663478,0.57,10564.994440818244
LUX,109714.924316129,0.49,53760.31291490321
MDG,453.858147011855,0.18,81.6944664621339
MWI,554.198503457917,0.23,127.46565579532091
MYS,11399.397137351,0.38,4331.770912193379
MDV,11035.5824827484,0.81,8938.821811026204
MLI,748.974818109328,0.16,119.83597089749249
MLT,30379.5968015298,0.73,22177.105665116753
MRT,1616.81571400654,0.22,355.6994570814388
MUS,10570.4954572341,0.5,5285.24772861705
MEX,10077.3833104761,0.52,5240.239321447572
MDA,3582.19085447967,0.48,1719.4516101502415
MNG,4249.67501406205,0.29,1232.4057540779943
MNE,7889.23763310614,0.82,6469.174859147034
MAR,3300.7998046875,0.47,1551.375908203125
MOZ,590.369044294331,0.36,212.53285594595917
MMR,1169.1068332012,0.33,385.805254956396
NAM,4483.28301781046,0.69,3093.4652822892167
NPL,1083.03454997816,0.35,379.06209249235593
NLD,50546.7893728169,0.9,45492.110435535214
NZL,42558.9362858988,0.87,37026.274568731955
NIC,2119.72620568009,0.67,1420.2165578056604
