country_code,cluster_name,attach_code,age_grp,simulation_index,ifr
ARG,Southern America,ARG,1,1,2.3716132671367359e-4
ARG,Southern America,ARG,1,2,1.9788646494172733e-4
ARG,Southern America,ARG,1,3,2.1524242822105907e-4
ARG,Southern America,ARG,1,4,2.0661640816102542e-4
ARG,Southern America,ARG,1,5,2.499857376555374e-4
ARG,Southern America,ARG,1,6,2.2400367153336062e-4
ARG,Southern America,ARG,1,7,2.0771509888465028e-4
ARG,Southern America,ARG,1,8,1.9305065200454855e-4
ARG,Southern America,ARG,1,9,2.3705377103464136e-4
ARG,Southern America,ARG,1,10,1.6236554933058531e-4
ARG,Southern America,ARG,1,11,2.4211912842863223e-4
ARG,Southern America,ARG,1,12,1.6719211059240135e-4
ARG,Southern America,ARG,1,13,1.5686453805399144e-4
ARG,Southern America,ARG,1,14,2.0062552988120953e-4
ARG,Southern America,ARG,1,15,1.658325195259147e-4
ARG,Southern America,ARG,1,16,2.2196437465592166e-4
ARG,Southern America,ARG,1,17,2.079024200611904e-4
ARG,Southern America,ARG,1,18,1.9785995002474043e-4
ARG,Southern America,ARG,1,19,2.033012570264226e-4
ARG,Southern America,ARG,1,20,1.9652915048331326e-4
ARG,Southern America,ARG,1,21,1.7270786894611783e-4
ARG,Southern America,ARG,1,22,1.961427534362987e-4
ARG,Southern America,ARG,1,23,2.2809125655821934e-4
ARG,Southern America,ARG,1,24,1.742941514531757e-4
ARG,Southern America,ARG,1,25,2.2965573578437713e-4
ARG,Southern America,ARG,1,26,1.810098181865435e-4
ARG,Southern America,ARG,1,27,1.8212059989970435e-4
ARG,Southern America,ARG,1,28,2.3985380981822384e-4
ARG,Southern America,ARG,1,29,2.481003814007095e-4
ARG,Southern America,ARG,1,30,2.2833447842433594e-4
ARG,Southern America,ARG,1,31,1.9786348353432063e-4
ARG,Southern America,ARG,1,32,1.9886571419046778e-4
ARG,Southern America,ARG,1,33,2.3056936100691587e-4
ARG,Southern America,ARG,1,34,1.7096605560321516e-4
ARG,Southern America,ARG,1,35,1.5181303906312022e-4
ARG,Southern America,ARG,1,36,1.871661012268071e-4
ARG,Southern America,ARG,1,37,3.2119025778933904e-4
ARG,Southern America,ARG,1,38,1.4348941584784594e-4
ARG,Southern America,ARG,1,39,1.5360915007363096e-4
ARG,Southern America,ARG,1,40,1.805588283767641e-4
ARG,Southern America,ARG,1,41,1.2969431314856746e-4
ARG,Southern America,ARG,1,42,2.3544004915065504e-4
ARG,Southern America,ARG,1,43,1.6493739434858326e-4
ARG,Southern America,ARG,1,44,2.4072094763539494e-4
ARG,Southern America,ARG,1,45,2.239636263270616e-4
ARG,Southern America,ARG,1,46,1.7108209618902642e-4
ARG,Southern America,ARG,1,47,1.775236216566191e-4
ARG,Southern America,ARG,1,48,2.031968464684746e-4
ARG,Southern America,ARG,1,49,2.2287393503104064e-4
ARG,Southern America,ARG,1,50,1.7254548893563587e-4
ARG,Southern America,ARG,1,51,3.2143769250916166e-4
ARG,Southern America,ARG,1,52,2.0668178931896076e-4
ARG,Southern America,ARG,1,53,2.057328779344154e-4
ARG,Southern America,ARG,1,54,1.8732329121939884e-4
ARG,Southern America,ARG,1,55,2.3019194417090802e-4
ARG,Southern America,ARG,1,56,1.6938105015696826e-4
ARG,Southern America,ARG,1,57,2.614995469271585e-4
ARG,Southern America,ARG,1,58,1.9059334841830443e-4
ARG,Southern America,ARG,1,59,2.545062752134679e-4
ARG,Southern America,ARG,1,60,1.7891717296494836e-4
ARG,Southern America,ARG,1,61,2.2282158759628492e-4
ARG,Southern America,ARG,1,62,2.0367514250358465e-4
ARG,Southern America,ARG,1,63,1.844112860484403e-4
ARG,Southern America,ARG,1,64,2.2010836755611036e-4
ARG,Southern America,ARG,1,65,2.4611285569512385e-4
ARG,Southern America,ARG,1,66,1.7373784263964784e-4
ARG,Southern America,ARG,1,67,2.3799778365974733e-4
ARG,Southern America,ARG,1,68,1.7923909715084844e-4
ARG,Southern America,ARG,1,69,2.454830258504963e-4
ARG,Southern America,ARG,1,70,2.0751962612733675e-4
ARG,Southern America,ARG,1,71,2.346982563555506e-4
ARG,Southern America,ARG,1,72,2.310636291305135e-4
