"","iso3c","age_grp","cluster_name","yll"
"1","ARG",1,"Southern America",30.057361961068
"2","AUS",1,"Oceania-Melanesia-Polynesia",31.0484331470087
"3","FJI",1,"Oceania-Melanesia-Polynesia",28.9102528225588
"4","NCL",1,"Oceania-Melanesia-Polynesia",30.5636473700905
"5","NZL",1,"Oceania-Melanesia-Polynesia",30.9536170279394
"6","SLB",1,"Oceania-Melanesia-Polynesia",29.196637268627
"7","TON",1,"Oceania-Melanesia-Polynesia",29.3233104439259
"8","VUT",1,"Oceania-Melanesia-Polynesia",29.1146271906649
"9","WSM",1,"Oceania-Melanesia-Polynesia",29.5001121639021
"10","BHS",1,"Northern America",29.6683489855544
"11","BLZ",1,"Northern America",29.2445155854974
"12","CAN",1,"Northern America",30.9337506703882
"13","CUB",1,"Northern America",30.402644625402
"14","ECU",1,"Northern America",30.1271346157186
"15","GTM",1,"Northern America",28.7734845286266
"16","HND",1,"Northern America",29.3193913846842
"17","MEX",1,"Northern America",29.7524164961558
"18","NIC",1,"Northern America",29.7659263514416
"19","PER",1,"Northern America",29.6378192152196
"20","PRI",1,"Northern America",30.4739499547781
"21","USA",1,"Northern America",30.2899683593357
"22","ALB",1,"Europe",30.2517373032788
"23","AUT",1,"Europe",30.9745527153603
"24","BEL",1,"Europe",30.9421516447691
"25","BGR",1,"Europe",29.613358934687
"26","BIH",1,"Europe",30.2611416700442
"27","BLR",1,"Europe",29.8978621650656
"28","CHE",1,"Europe",31.1692953633761
"29","CZE",1,"Europe",30.5186720827217
"30","DEU",1,"Europe",30.8088707625936
"31","DNK",1,"Europe",30.938657112788
"32","DZA",1,"Europe",30.0631377316297
"33","ESP",1,"Europe",31.1341629080197
"34","EST",1,"Europe",30.5568844306447
"35","FIN",1,"Europe",30.9552178919302
"36","FRA",1,"Europe",30.9875844254791
"37","GBR",1,"Europe",30.9136662142238
"38","GRC",1,"Europe",30.7758973341697
"39","HRV",1,"Europe",30.6578326912127
"40","HUN",1,"Europe",30.1061542721707
"41","IRL",1,"Europe",31.0264064977007
"42","ISL",1,"Europe",31.0373210843869
"43","ITA",1,"Europe",31.1592846223053
"44","LBY",1,"Europe",29.5419720268443
"45","LTU",1,"Europe",29.9517019926347
"46","LUX",1,"Europe",30.9930807642088
"47","LVA",1,"Europe",30.1268695328532
"48","MAR",1,"Europe",29.8788343740247
"49","MDA",1,"Europe",29.1264547111225
"50","MKD",1,"Europe",30.0524489634187
"51","MLT",1,"Europe",31.0844315341196
"52","MNE",1,"Europe",30.375773158974
"53","NLD",1,"Europe",30.994987346711
"54","NOR",1,"Europe",31.1008657439964
"55","POL",1,"Europe",30.3395486612343
"56","PRT",1,"Europe",30.9460846065817
"57","ROU",1,"Europe",30.0098450107896
"58","SRB",1,"Europe",30.0768945787019
"59","SVK",1,"Europe",30.1313746627161
"60","SVN",1,"Europe",30.9944798011492
"61","SWE",1,"Europe",31.1006325693518
"62","TUN",1,"Europe",29.7821151461872
"63","UKR",1,"Europe",29.1016180263159
"64","XKX",1,"Europe",30.6157782631299
"65","BOL",1,"Southern America",28.2085113752553
"66","BRA",1,"Southern America",29.6011717425849
"67","BRB",1,"Southern America",30.243285742532
"68","CHL",1,"Southern America",30.5280355207278
"69","COL",1,"Southern America",29.5983204110087
"70","CRI",1,"Southern America",30.278570438019
"71","DOM",1,"Southern America",29.4035531834045
"72","GUF",1,"Southern America",30.3220821368781
"73","GUY",1,"Southern America",28.3508057727092
"74","HTI",1,"Southern America",27.5142976165452
"75","JAM",1,"Southern America",29.3519089877783
"76","LCA",1,"Southern America",29.4020505028023
"77","PAN",1,"Southern America",29.9018503803941
"78","PRY",1,"Southern America",29.170001292521
"79","SLV",1,"Southern America",29.2607289704955
"80","SUR",1,"Southern America",29.1541802569029
"81","TTO",1,"Southern America",29.6851727974198
"82","URY",1,"Southern America",30.2784837172625
"83","VCT",1,"Southern America",29.1061472215596
