codes,country,country_altern,cluster_name,in_cluster,cluster_code,hemisphere
AFG,Afghanistan,Afghanistan,Asia-Europe,TRUE,TUR,NH
AGO,Angola,Angola,Africa,FALSE,GHA,NH
ALB,Albania,Albania,Europe,FALSE,GBR,NH
ARE,United Arab Emirates,United Arab Emirates,Asia-Europe,FALSE,TUR,NH
ARG,Argentina,Argentina,Southern America,TRUE,ARG,SH
ARM,Armenia,Armenia,Asia-Europe,TRUE,TUR,NH
AUS,Australia,Australia,Oceania-Melanesia-Polynesia,TRUE,AUS,SH
AUT,Austria,Austria,Europe,TRUE,GBR,NH
AZE,Azerbaijan,Azerbaijan,Asia-Europe,TRUE,TUR,NH
BDI,Burundi,Burundi,Africa,FALSE,GHA,NH
BEL,Belgium,Belgium,Europe,FALSE,GBR,NH
BEN,Benin,Benin,Africa,FALSE,GHA,NH
BFA,Burkina Faso,Burkina Faso,Africa,TRUE,GHA,NH
BGD,Bangladesh,Bangladesh,Eastern and Southern Asia,TRUE,CHN,NH
BGR,Bulgaria,Bulgaria,Europe,TRUE,GBR,NH
BHR,Bahrain,Bahrain,Asia-Europe,TRUE,TUR,NH
BHS,Bahamas,Bahamas,Northern America,FALSE,CAN,NH
BIH,Bosnia & Herzegovina,Bosnia and Herzegovina,Europe,FALSE,GBR,NH
BLR,Belarus,Belarus,Europe,TRUE,GBR,NH
BLZ,Belize,Belize,Northern America,TRUE,CAN,NH
BOL,Bolivia,Bolivia (Plurinational State of),Southern America,TRUE,ARG,SH
BRA,Brazil,Brazil,Southern America,TRUE,ARG,SH
BRB,Barbados,Barbados,Southern America,FALSE,ARG,SH
BRN,Brunei,Brunei Darussalam,Eastern and Southern Asia,FALSE,CHN,NH
BTN,Bhutan,Bhutan,Eastern and Southern Asia,TRUE,CHN,NH
BWA,Botswana,Botswana,Africa,FALSE,GHA,NH
CAF,Central African Republic,Central African Republic,Africa,TRUE,GHA,NH
CAN,Canada,Canada,Northern America,TRUE,CAN,NH
CHE,Switzerland,Switzerland,Europe,FALSE,GBR,NH
CHL,Chile,Chile,Southern America,TRUE,ARG,SH
CHN,China,China,Eastern and Southern Asia,TRUE,CHN,NH
CIV,Côte d’Ivoire,Côte d'Ivoire,Africa,TRUE,GHA,NH
CMR,Cameroon,Cameroon,Africa,TRUE,GHA,NH
COD,Congo - Kinshasa,Democratic Republic of the Congo,Africa,TRUE,GHA,NH
COG,Congo - Brazzaville,Congo,Africa,FALSE,GHA,NH
COL,Colombia,Colombia,Southern America,TRUE,ARG,SH
COM,Comoros,Comoros,Africa,FALSE,GHA,NH
CPV,Cape Verde,Cabo Verde,Africa,FALSE,GHA,NH
CRI,Costa Rica,Costa Rica,Southern America,TRUE,ARG,SH
CUB,Cuba,Cuba,Northern America,TRUE,CAN,NH
CYP,Cyprus,Cyprus,Asia-Europe,FALSE,TUR,NH
CZE,Czechia,Czechia,Europe,FALSE,GBR,NH
DEU,Germany,Germany,Europe,TRUE,GBR,NH
DJI,Djibouti,Djibouti,Asia-Europe,FALSE,TUR,NH
DNK,Denmark,Denmark,Europe,TRUE,GBR,NH
DOM,Dominican Republic,Dominican Republic,Southern America,TRUE,ARG,SH
DZA,Algeria,Algeria,Europe,FALSE,GBR,NH
ECU,Ecuador,Ecuador,Northern America,TRUE,CAN,NH
EGY,Egypt,Egypt,Asia-Europe,TRUE,TUR,NH
