exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback,init_ageing_date,init_nye,pushback_T,r0
ARG,1,2012,TRUE,TRUE,TRUE,TRUE,2,ARGA120625,INF_A,5651,06,25,0.6161219187446879,0.09396978496184057,2516.957020781051,4.483881862884958e-4,1,119,NA,NA,FALSE,2.7661703276235463
ARG,1,2012,TRUE,TRUE,TRUE,TRUE,2,ARGB120702,INF_B,6891,07,02,0.7045988732793714,0.08311961884737601,1638.1961273691263,2.4960756327218735e-4,1,98,NA,NA,FALSE,2.4467760928936677
ARG,2,2015,FALSE,TRUE,TRUE,TRUE,1,ARGA150601,INF_A,6518,06,01,0.6036993116889265,0.0808057667386806,2390.3974632458703,3.0713380025355777e-4,1,91,NA,NA,FALSE,2.3786636773104934
ARG,3,2010,FALSE,TRUE,FALSE,TRUE,2,ARGA100906,INF_A,6127,09,06,0.6996433219249377,0.09130065847983332,5993.538527888976,1.4440872487862208e-4,1,70,NA,NA,FALSE,2.6875997692445854
ARG,3,2010,FALSE,TRUE,FALSE,TRUE,2,ARGB100524,INF_B,8982,05,24,0.5430381406226608,0.10537376707401865,5437.455222503964,2.397772183192423e-4,1,154,NA,NA,FALSE,3.101867136425085
ARG,4,2012,FALSE,TRUE,FALSE,TRUE,2,ARGA120625,INF_A,3507,06,25,0.6486481770157797,0.08936792910906227,2142.065160296089,4.50735198361039e-4,1,119,NA,NA,FALSE,2.6307063897511194
ARG,4,2012,FALSE,TRUE,FALSE,TRUE,2,ARGB120702,INF_B,3427,07,02,0.7650162006110669,0.07679088968999676,1739.518248345977,2.3784016822181992e-4,1,98,NA,NA,FALSE,2.2604785206068154
ARG,5,2019,FALSE,TRUE,TRUE,TRUE,2,ARGA190318,INF_A,3487,03,18,0.6433553758802304,0.07368937290818237,625.9183529194763,0.00113617765135115,1,91,NA,NA,FALSE,2.1691797728660887
ARG,5,2019,FALSE,TRUE,TRUE,TRUE,2,ARGB190715,INF_B,2695,07,15,0.7641742485547838,0.0734944204448962,2541.3230515505534,1.856312678562406e-4,1,175,NA,NA,FALSE,2.163440995029592
ARG,6,2013,FALSE,TRUE,FALSE,TRUE,2,ARGA130506,INF_A,9387,05,06,0.6661044400444236,0.0900253238266588,3472.158653522639,0.00110125663727352,1,91,NA,NA,FALSE,2.6500579905033232
ARG,6,2013,FALSE,TRUE,FALSE,TRUE,2,ARGB130617,INF_B,945,06,17,0.6633215915178072,0.08642292940570791,3277.703255786472,1.2784599040207892e-4,1,140,NA,NA,FALSE,2.5440150048811097
ARG,7,2018,TRUE,FALSE,FALSE,TRUE,2,ARGA180521,INF_A,1036,05,21,0.6925886731272276,0.08488528071049092,892.1858348939764,6.252209120516381e-4,1,84,NA,NA,FALSE,2.4987515385791967
ARG,7,2018,TRUE,FALSE,FALSE,TRUE,2,ARGB180514,INF_B,6782,05,14,0.6603827779817835,0.08817384223999808,742.7201419167047,3.8639754966883006e-4,1,91,NA,NA,FALSE,2.5955562862667754
ARG,8,2012,TRUE,FALSE,FALSE,TRUE,2,ARGA120625,INF_A,1668,06,25,0.6147293163368515,0.09431278524045632,2264.790671582896,4.328762828510567e-4,1,119,NA,NA,FALSE,2.7762671602752205
ARG,8,2012,TRUE,FALSE,FALSE,TRUE,2,ARGB120702,INF_B,6959,07,02,0.7010476451184826,0.08380685313180512,1645.825614524298,2.2716460997940352e-4,1,98,NA,NA,FALSE,2.4670060751851604
ARG,9,2015,TRUE,TRUE,TRUE,TRUE,1,ARGA150601,INF_A,9742,06,01,0.5464733106366043,0.08890585991987153,2455.480034772335,3.0883211597550816e-4,1,98,NA,NA,FALSE,2.6171045486809548
ARG,10,2017,FALSE,TRUE,TRUE,TRUE,2,ARGA170327,INF_A,3480,03,27,0.7094156930018062,0.07235441304483178,443.1025815368845,6.395089517860622e-4,1,49,NA,NA,FALSE,2.129882818381535
