exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback,init_ageing_date,init_nye,pushback_T,r0
AUS,1,2012,TRUE,TRUE,TRUE,TRUE,2,AUSA120521,INF_A,8644,05,21,0.6142361739989716,0.08042734866980078,2167.598725557326,9.255112598305228e-4,1,91,NA,NA,FALSE,2.2755958578872724
AUS,1,2012,TRUE,TRUE,TRUE,TRUE,2,AUSB120514,INF_B,234,05,14,0.6054893984033088,0.08056302379021371,1244.580406421988,4.1928427174405073e-4,1,91,NA,NA,FALSE,2.2794346235203102
AUS,2,2015,FALSE,TRUE,TRUE,TRUE,2,AUSA150629,INF_A,9020,06,29,0.5838688467819413,0.07238892067372701,3371.4604441565857,7.055379854634992e-4,1,210,NA,NA,FALSE,2.0481581298715157
AUS,2,2015,FALSE,TRUE,TRUE,TRUE,2,AUSB150406,INF_B,7577,04,06,0.601093061452029,0.07839231978329825,563.4116713948202,8.271580727774058e-4,1,112,NA,NA,FALSE,2.2180171439125203
AUS,3,2010,FALSE,TRUE,FALSE,TRUE,2,AUSA100816,INF_A,7788,08,16,0.5611206661010839,0.0790229237852962,3265.322465570901,0.00129412772020976,1,NA,84.6763673942239,NA,FALSE,2.235859331658944
AUS,3,2010,FALSE,TRUE,FALSE,TRUE,2,AUSB100809,INF_B,9539,08,09,0.6584959628166502,0.07112246222561393,6407.836077052843,1.7653169382051656e-4,1,196,NA,NA,FALSE,2.0123251993276474
AUS,4,2012,FALSE,TRUE,FALSE,TRUE,2,AUSA120521,INF_A,2643,05,21,0.5693789494198003,0.08662112554315411,2048.844192256958,9.299310773854088e-4,1,91,NA,NA,FALSE,2.4508413835796183
AUS,4,2012,FALSE,TRUE,FALSE,TRUE,2,AUSB120514,INF_B,1121,05,14,0.6958640645188454,0.07054764754657587,1152.6633133232456,4.134696983582561e-4,1,84,NA,NA,FALSE,1.9960615039018281
AUS,5,2019,FALSE,TRUE,TRUE,TRUE,2,AUSA191230,INF_A,163,12,30,0.59807932280185,0.06896623730260149,3128.035889632434,0.00139594987932503,1,NA,503.334720539966,NA,FALSE,1.9513173881212238
AUS,5,2019,FALSE,TRUE,TRUE,TRUE,2,AUSB190422,INF_B,1407,04,22,0.6051600644118801,0.07794447971351562,1241.58722488003,8.775422626734502e-4,1,133,NA,NA,FALSE,2.2053460435387247
AUS,6,2013,FALSE,TRUE,FALSE,TRUE,2,AUSA130708,INF_A,9937,07,08,0.6051650425087324,0.07877915567398852,4362.219302455778,4.875084964127692e-4,1,147,NA,NA,FALSE,2.2289622038342514
AUS,6,2013,FALSE,TRUE,FALSE,TRUE,2,AUSB130708,INF_B,6605,07,08,0.6063601513591119,0.07797704113276561,4279.205342867413,1.3430138709326903e-4,1,168,NA,NA,FALSE,2.20626733004136
AUS,7,2018,TRUE,FALSE,FALSE,TRUE,2,AUSA180611,INF_A,9031,06,11,0.6117543193077812,0.07709599979563744,1773.654558996075,0.00116171643761958,1,140,NA,NA,FALSE,2.181339316740467
AUS,7,2018,TRUE,FALSE,FALSE,TRUE,2,AUSA181105,INF_A,4683,11,05,0.5998866124739958,0.07602713652154745,151.0675219300665,0.01032714400950409,1,NA,53.9248899404133,NA,FALSE,2.151097105858284
AUS,8,2012,TRUE,FALSE,FALSE,TRUE,2,AUSA120521,INF_A,2639,05,21,0.56328176170084,0.08797599472840834,1948.7503864777937,8.728093420505677e-4,1,91,NA,NA,FALSE,2.489175790431715
AUS,8,2012,TRUE,FALSE,FALSE,TRUE,2,AUSB120514,INF_B,3199,05,14,0.6773851926237637,0.07261477458340712,1241.6182096073533,3.917643715653775e-4,1,84,NA,NA,FALSE,2.0545483967378995
AUS,9,2015,TRUE,TRUE,TRUE,TRUE,2,AUSA150629,INF_A,9790,06,29,0.6638474284712863,0.06494053829526408,3410.07566314721,5.305784532395762e-4,1,168,NA,NA,FALSE,1.8374150385136496
AUS,9,2015,TRUE,TRUE,TRUE,TRUE,2,AUSB150406,INF_B,9903,04,06,0.6201675831315466,0.07647473957408733,446.7256122607199,7.322327487178788e-4,1,98,NA,NA,FALSE,2.1637615001120247
AUS,10,2017,FALSE,TRUE,TRUE,TRUE,3,AUSA170612,INF_A,7687,06,12,0.5182008828644931,0.0868211597498997,1457.478197353362,0.00187857596253035,1,91,NA,NA,FALSE,2.456501112761726
AUS,10,2017,FALSE,TRUE,TRUE,TRUE,3,AUSB170612,INF_B,5922,06,12,0.54164233540397555,0.08978977355040653,1109.7223994676942,8.285450124033501e-4,1,91,NA,NA,FALSE,2.540494497845634
AUS,10,2017,FALSE,TRUE,TRUE,TRUE,3,AUSB171211,INF_B,8837,12,11,0.5616721789103984,0.07930597815911765,3415.65760386607,3.1796565173765654e-4,1,NA,501.977015820408,NA,FALSE,2.243868017401768
AUS,11,2014,TRUE,TRUE,FALSE,TRUE,2,AUSA140623,INF_A,6472,06,23,0.6448580470800211,0.07543484555295996,4688.502429007972,8.268144875952763e-4,1,126,NA,NA,FALSE,2.134338939673852
AUS,11,2014,TRUE,TRUE,FALSE,TRUE,2,AUSB140714,INF_B,4281,07,14,0.6413011006563135,0.07529117449456015,6899.032171418122,1.0011916576477308e-4,1,140,NA,NA,FALSE,2.1302739385169054
AUS,12,2010,FALSE,TRUE,TRUE,TRUE,2,AUSA100816,INF_A,6530,08,16,0.6692405807871715,0.06796869933607434,6789.682383048921,5.019757745471217e-4,1,NA,9.04810658449435,NA,FALSE,1.9230932417051325
AUS,12,2010,FALSE,TRUE,TRUE,TRUE,2,AUSB100809,INF_B,1042,08,09,0.6048835329941904,0.07524092047251134,4620.697955617119,3.2199147873540894e-4,1,NA,10,NA,FALSE,2.1288520609303903
AUS,13,2013,TRUE,FALSE,TRUE,TRUE,2,AUSA130708,INF_A,4040,07,08,0.6774843583288744,0.07037920234809313,4147.695027519358,5.39220047859406e-4,1,154,NA,NA,FALSE,1.991295548013837
AUS,13,2013,TRUE,FALSE,TRUE,TRUE,2,AUSB130708,INF_B,2577,07,08,0.607296426863782,0.07749445570590202,5318.429353390777,1.1478407459140032e-4,1,182,NA,NA,FALSE,2.1926131512500615
AUS,14,2010,FALSE,FALSE,TRUE,TRUE,2,AUSA100816,INF_A,6486,08,16,0.6149296922672957,0.07217125321111989,3352.6974371000083,0.00127874760422805,1,NA,87.6514745712309,NA,FALSE,2.0419994887563004
AUS,14,2010,FALSE,FALSE,TRUE,TRUE,2,AUSB100809,INF_B,6443,08,09,0.6080226341737504,0.07674969866337217,5471.053641934048,2.0005036632753836e-4,1,203,NA,NA,FALSE,2.1715411394388644
AUS,15,2011,TRUE,FALSE,FALSE,TRUE,2,AUSA110704,INF_A,9100,07,04,0.5430025250051098,0.08667999600312701,4130.473759636959,5.770438050947556e-4,1,175,NA,NA,FALSE,2.452507052995332
AUS,15,2011,TRUE,FALSE,FALSE,TRUE,2,AUSB110704,INF_B,2108,07,04,0.6353297577746042,0.07529211652870534,5677.436482113074,1.2421130794807345e-4,1,154,NA,NA,FALSE,2.1303005922489286
AUS,16,2014,TRUE,TRUE,FALSE,TRUE,2,AUSA140623,INF_A,3351,06,23,0.6227473812822322,0.0784905056217591,4994.385220592777,7.890158215555057e-4,1,119,NA,NA,FALSE,2.220795195048111
AUS,16,2014,TRUE,TRUE,FALSE,TRUE,2,AUSB140714,INF_B,8423,07,14,0.6786203611143221,0.06981674706517316,6131.591014937839,1.2802809482081694e-4,1,168,NA,NA,FALSE,1.9753815469529008
AUS,17,2013,TRUE,TRUE,TRUE,TRUE,2,AUSA130708,INF_A,9581,07,08,0.6425177581735705,0.07428326976791966,4102.312785739727,5.331912366355143e-4,1,147,NA,NA,FALSE,2.101756476993904
AUS,17,2013,TRUE,TRUE,TRUE,TRUE,2,AUSB130708,INF_B,1383,07,08,0.6227673213128936,0.07477002814350825,5543.522168319682,1.3087525420596191e-4,1,210,NA,NA,FALSE,2.11552872438986
AUS,18,2018,FALSE,TRUE,FALSE,TRUE,2,AUSA180611,INF_A,8610,06,11,0.6404550150531217,0.07351542830999272,1837.8568283242748,0.00122464279425667,1,147,NA,NA,FALSE,2.0800313191953257
AUS,18,2018,FALSE,TRUE,FALSE,TRUE,2,AUSA181105,INF_A,1401,11,05,0.6177664683066939,0.07390357709377833,140.83904233759125,0.01026478047341348,1,NA,48.0571443136228,NA,FALSE,2.091013525860534
AUS,19,2016,TRUE,TRUE,FALSE,TRUE,2,AUSA160516,INF_A,3593,05,16,0.5213601199683381,0.09337039409520304,395.9208525558972,0.00170810856463934,1,70,NA,NA,FALSE,2.641803883460933
