exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback,init_ageing_date,init_nye,pushback_T,r0
CAN,1,2012,TRUE,TRUE,TRUE,TRUE,3,CANA121105,INF_A,721,11,05,0.6349067141337049,0.07462995434973739,2169.3779220754022,0.00354831356023938,1,84,NA,NA,FALSE,2.0151429305190143
CAN,1,2012,TRUE,TRUE,TRUE,TRUE,3,CANB120102,INF_B,2,01,02,0.6001852524403626,0.08428959390780155,937.8456495789052,0.00118455172973423,1,NA,NA,490.914268836573,FALSE,2.2759705638252554
CAN,1,2012,TRUE,TRUE,TRUE,TRUE,3,CANB121224,INF_B,5117,12,24,0.6386837701382044,0.07556179050269796,2040.7175435676193,0.00126770399058545,1,140,NA,NA,FALSE,2.0403041818208805
CAN,2,2015,FALSE,TRUE,TRUE,TRUE,2,CANA151214,INF_A,74,12,14,0.6193423211434216,0.08401094690551592,528.1012959217969,0.00434733220606768,1,56,NA,NA,FALSE,2.2684465938368135
CAN,2,2015,FALSE,TRUE,TRUE,TRUE,2,CANB151221,INF_B,4059,12,21,0.5694703146967055,0.08668846044884627,940.8926779938772,0.0024955052256909,1,91,NA,NA,FALSE,2.3407442729017895
CAN,3,2010,FALSE,TRUE,FALSE,TRUE,1,CANA101122,INF_A,1395,11,22,0.6208587941415997,0.07932649761800513,4699.937678944544,0.00379968269896413,1,126,NA,NA,FALSE,2.141958041788873
CAN,4,2012,FALSE,TRUE,FALSE,TRUE,3,CANA121105,INF_A,6177,11,05,0.5607024004932393,0.08431032779223631,2233.932017170376,0.00358128073950927,1,84,NA,NA,FALSE,2.2765304159785225
CAN,4,2012,FALSE,TRUE,FALSE,TRUE,3,CANB120102,INF_B,9655,01,02,0.5413145075370361,0.09331872537114735,945.0952785572836,0.00116195251881389,1,77,NA,NA,FALSE,2.51977334510288
CAN,4,2012,FALSE,TRUE,FALSE,TRUE,3,CANB121224,INF_B,1911,12,24,0.5393316102465819,0.08983178714789235,1834.0785668223955,0.00118429420636478,1,126,NA,NA,FALSE,2.4256197445684373
CAN,5,2019,FALSE,TRUE,TRUE,TRUE,2,CANA191014,INF_A,9361,10,14,0.6048102122961965,0.08181218024209937,477.5006432162469,0.00709308758342898,1,77,NA,NA,FALSE,2.209075941177955
CAN,5,2019,FALSE,TRUE,TRUE,TRUE,2,CANB191104,INF_B,3341,11,04,0.6302140627605963,0.07897961194189072,1340.0551381391522,0.0049107233869508,1,91,NA,NA,FALSE,2.1325915049336523
CAN,6,2013,FALSE,TRUE,FALSE,TRUE,2,CANA131125,INF_A,3803,11,25,0.6773366745082825,0.07732268427506163,3774.82434150117,0.00307245116675376,1,77,NA,NA,FALSE,2.0878514792524796
CAN,6,2013,FALSE,TRUE,FALSE,TRUE,2,CANB131209,INF_B,2985,12,09,0.5943260601484787,0.08163423865228568,925.553909501054,0.00206855733362377,1,112,NA,NA,FALSE,2.2042711983654653
CAN,7,2018,TRUE,FALSE,FALSE,TRUE,2,CANA181015,INF_A,7141,10,15,0.5597721596131883,0.0844194335774651,1994.7769404512976,0.0167857627214461,1,189,NA,NA,FALSE,2.2794764683203503
CAN,7,2018,TRUE,FALSE,FALSE,TRUE,2,CANB181231,INF_B,8916,12,31,0.6647420422963344,0.07236383653582248,1380.4339798842775,7.513752141992172e-4,1,133,NA,NA,FALSE,1.9539536757188087
CAN,8,2012,TRUE,FALSE,FALSE,TRUE,3,CANA121105,INF_A,1379,11,05,0.5916891948398092,0.08002412244364698,2183.413047291051,0.00355926437546065,1,84,NA,NA,FALSE,2.1607951662088976
CAN,8,2012,TRUE,FALSE,FALSE,TRUE,3,CANB120102,INF_B,2184,01,02,0.629521156751635,0.08031395293208714,995.0653179176423,0.00115195936422063,1,77,NA,NA,FALSE,2.1686211104281856
CAN,8,2012,TRUE,FALSE,FALSE,TRUE,3,CANB121224,INF_B,940,12,24,0.6298197883092226,0.07694837895618858,2022.6475091701689,0.00115829813483799,1,140,NA,NA,FALSE,2.077744562750187
