exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback,init_ageing_date,init_nye,pushback_T,r0
GBR,1,2012,TRUE,TRUE,TRUE,TRUE,2,GBRA121126,INF_A,1234,11,26,0.5904214268697399,0.07367300383687801,4887.961808801528,9.657563288579185e-4,1,189,NA,NA,FALSE,1.843836723349622
GBR,1,2012,TRUE,TRUE,TRUE,TRUE,2,GBRB121029,INF_B,3347,10,29,0.5971049877271813,0.07497274894437876,3004.635054589406,6.358521621329926e-4,1,133,NA,NA,FALSE,1.8763658403313337
GBR,2,2015,FALSE,TRUE,TRUE,TRUE,3,GBRA151123,INF_A,2219,11,23,0.6200139522705878,0.09403478965851622,1875.1636121929575,0.0011743375741446,1,98,NA,NA,FALSE,2.3534373435991136
GBR,2,2015,FALSE,TRUE,TRUE,TRUE,3,GBRB150126,INF_B,3568,01,26,0.5815060042767153,0.08817523615838824,8107.578893803716,1.417952961147849e-4,1,147,NA,NA,FALSE,2.2067885120964714
GBR,2,2015,FALSE,TRUE,TRUE,TRUE,3,GBRB151109,INF_B,7806,11,09,0.6372104366542491,0.09293994845806858,63.84987760745804,4.800738555261932e-4,1,28,NA,NA,FALSE,2.326036419156135
GBR,3,2010,FALSE,TRUE,FALSE,TRUE,2,GBRA101122,INF_A,7071,11,22,0.7070517008133427,0.07601851329078743,5468.920267990808,4.4052497033000984e-4,1,42,NA,NA,FALSE,1.9025385033891256
GBR,3,2010,FALSE,TRUE,FALSE,TRUE,2,GBRB101122,INF_B,1712,11,22,0.6422932676699996,0.07597100235558413,8920.70147086278,3.058526788757537e-4,1,77,NA,NA,FALSE,1.9013494327319485
GBR,4,2012,FALSE,TRUE,FALSE,TRUE,2,GBRA121126,INF_A,2754,11,26,0.5873846016260116,0.07392790613328616,4829.7353526622,9.918789945822983e-4,1,189,NA,NA,FALSE,1.8502162408187905
GBR,4,2012,FALSE,TRUE,FALSE,TRUE,2,GBRB121029,INF_B,4687,10,29,0.5421438153297935,0.08251985301629038,2988.4527013736247,6.106362065937642e-4,1,133,NA,NA,FALSE,2.0652495143775713
GBR,5,2019,FALSE,TRUE,TRUE,TRUE,2,GBRA190930,INF_A,2067,09,30,0.6515275329745036,0.08770178137608214,3147.1793021545636,0.00241724556136936,1,133,NA,NA,FALSE,2.1949392149455864
