exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback,init_ageing_date,init_nye,pushback_T,r0
GHA,1,2012,TRUE,TRUE,TRUE,TRUE,3,GHAA120521,INF_A,6156,05,21,0.4902532966469832,0.07702180497335086,17022.399197732968,2.315414621748094e-5,1,NA,NA,13.3814362042289,FALSE,2.2282505945836224
GHA,1,2012,TRUE,TRUE,TRUE,TRUE,3,GHAA120924,INF_A,1000,09,24,0.67765623440309,0.05858286009306516,7246.23202371657,3.4090246319094056e-5,1,98,NA,NA,FALSE,1.6948095786634294
GHA,1,2012,TRUE,TRUE,TRUE,TRUE,3,GHAB120611,INF_B,8250,06,11,0.4833333488263681,0.079963541906832,10059.11917178185,3.3430517989587147e-5,1,NA,120.218060637107,NA,FALSE,2.3133554174763855
GHA,2,2015,FALSE,TRUE,TRUE,TRUE,2,GHAA150323,INF_A,6225,03,23,0.5193483993541924,0.07487068968290791,34327.538583548696,2.2259173681850543e-5,1,140,NA,NA,FALSE,2.166018556180915
GHA,2,2015,FALSE,TRUE,TRUE,TRUE,2,GHAB150316,INF_B,9529,03,16,0.6235632289823798,0.05802397059270485,5844.144410334756,4.8764676145933414e-5,1,266,NA,NA,FALSE,1.6786408344757895
GHA,3,2010,FALSE,TRUE,FALSE,TRUE,1,GHAA100118,INF_A,658,01,18,0.6410764616959109,0.05836382858565174,2832.9076307277455,2.7021151794817493e-4,1,140,NA,NA,FALSE,1.6884729693513605
GHA,4,2012,FALSE,TRUE,FALSE,TRUE,3,GHAA120521,INF_A,2731,05,21,0.5731472591206785,0.06459278757513523,17136.4154781494,2.7898244059093583e-5,1,NA,1697.131647766,NA,FALSE,1.8686775435853176
GHA,4,2012,FALSE,TRUE,FALSE,TRUE,3,GHAA120924,INF_A,8982,09,24,0.6354826755920976,0.06123280786613309,8480.3907272743,4.365741074758012e-5,1,112,NA,NA,FALSE,1.7714729041074018
GHA,4,2012,FALSE,TRUE,FALSE,TRUE,3,GHAB120611,INF_B,6758,06,11,0.6140601475081807,0.06266057926805052,11041.193454335758,3.268571924965323e-5,1,NA,139.678289685879,NA,FALSE,1.8127785119979563
GHA,5,2019,FALSE,TRUE,TRUE,TRUE,3,GHAA190513,INF_A,4526,05,13,0.6089789904488025,0.06036063660626179,14259.325329975076,8.142625493390705e-5,1,NA,2682.4047367483,NA,FALSE,1.7462408788509256
GHA,5,2019,FALSE,TRUE,TRUE,TRUE,3,GHAA190930,INF_A,3224,09,30,0.5454784035296251,0.07694872960752878,3902.732639082938,7.056342496000826e-5,1,63,NA,NA,FALSE,2.2261365149746233
GHA,5,2019,FALSE,TRUE,TRUE,TRUE,3,GHAB190909,INF_B,404,09,09,0.5771889940979358,0.07060755278746489,4566.662936246595,2.6456424792178936e-5,1,77,NA,NA,FALSE,2.0426854646576897
GHA,6,2013,FALSE,TRUE,FALSE,TRUE,2,GHAA131007,INF_A,1293,10,07,0.5510317932061176,0.06934253057298041,13761.542158988568,2.2936009770755533e-5,1,140,NA,NA,FALSE,2.006088211418015
