"","vacc_type","country_type","price","midpoint","lower","upper"
"1","0","us","$24",24,24,24
"2","A","us","$80 - 90",85,80,90
"3","B","us","$150 - 220",185,150,220
"4","C","us","$250 - 750",500,250,750
"5","0","hics","$10.50",10.5,10.5,10.5
"6","A","hics","$25 - 30",27.5,25,30
"7","B","hics","$40 - 60",50,40,60
"8","C","hics","$80 - 200",140,80,200
"9","0","umics","$7.50",7.5,7.5,7.5
"10","A","umics","$16 - 18",17,16,18
"11","B","umics","$20 - 30",25,20,30
"12","C","umics","$35 - 105",70,35,105
"13","0","lmic_self_proc","$4.50",4.5,4.5,4.5
"14","A","lmic_self_proc","$5.75 – 6",5.875,5.75,6
"15","B","lmic_self_proc","$8.25 - 11",9.625,8.25,11
"16","C","lmic_self_proc","$11 – 25",18,11,25
"17","0","lmic_un_proc","$4.50",4.5,4.5,4.5
"18","A","lmic_un_proc","$4.50 - 5.50",5,4.5,5.5
"19","B","lmic_un_proc","$5.50 - 6.50",6,5.5,6.5
"20","C","lmic_un_proc","$6.75 - 7.50",7.125,6.75,7.5
